video_id,watch time (minutes),viewer_id
s3374,36,712
s6410,18,607
s2799,12,622
s6040,15,779
s441,24,664
s5127,43,23
s5523,29,507
s7892,0,79
s8355,24,14
s5486,7,161
s5507,3,571
s4444,30,630
s5502,20,997
s2148,32,604
s8787,33,735
s6756,16,84
s5726,6,164
s3976,41,615
s2839,2,817
s1859,43,985
s923,50,944
s7226,38,425
s7353,23,627
s7796,0,314
s4809,26,600
s5675,6,498
s3287,9,320
s8096,29,165
s6451,9,912
s4828,31,248
s3150,5,487
s2494,15,386
s8221,30,708
s8663,46,894
s7270,19,910
s7584,32,877
s7375,10,199
s6158,16,843
s3197,44,476
s2761,44,989
s4581,39,257
s5757,47,749
s5957,24,372
s7099,21,384
s2988,21,560
s1535,27,481
s5628,15,898
s7968,48,215
s5769,47,40
s2964,32,94
s5168,1,975
s5503,30,950
s5658,50,61
s961,4,781
s3215,30,197
s7393,15,179
s4061,27,193
s4978,48,760
s8469,44,606
s7275,48,992
s7834,49,610
s7955,36,879
s5090,13,661
s3750,23,380
s6975,20,956
s7552,33,321
s5656,17,251
s4915,19,804
s7924,37,579
s8283,2,577
s6005,1,109
s7621,18,484
s366,50,808
s747,34,788
s638,13,646
s3535,49,598
s7033,4,861
s5954,29,763
s1640,17,835
s3556,29,407
s269,12,464
s3451,41,478
s1638,49,445
s8294,14,604
s6918,44,173
s8216,4,823
s949,22,262
s4005,45,611
s2150,14,32
s2788,30,408
s7528,43,66
s1211,9,168
s7859,35,538
s6164,49,256
s5233,28,14
s439,32,554
s2759,43,351
s862,37,466
s7283,0,181
s4332,23,287
s8716,22,926
s4429,28,856
s2644,7,776
s6491,41,308
s1005,10,958
s8218,5,955
s2322,47,542
s5598,32,596
s118,42,756
s3004,44,950
s8645,44,599
s5014,43,449
s352,46,749
s6184,8,292
s5210,24,531
s413,47,863
s7486,35,611
s6989,22,607
s8351,18,658
s4764,14,812
s2158,14,943
s5464,30,221
s2816,39,633
s2860,3,105
s773,21,204
s6972,27,93
s4892,36,11
s7222,12,819
s8331,4,752
s8441,34,675
s1093,14,836
s8458,44,286
s19,34,502
s1515,41,466
s8319,47,617
s8441,11,876
s958,9,487
s4232,1,144
s5568,15,93
s7208,50,968
s8405,39,528
s6942,2,851
s3570,12,256
s6636,28,159
s5856,23,593
s5712,18,222
s7956,42,899
s1470,50,95
s761,50,91
s6593,10,831
s4055,14,536
s8565,31,796
s8581,7,395
s3139,11,164
s6978,10,317
s3460,9,62
s3933,23,275
s895,32,925
s3191,7,753
s7139,35,554
s5913,34,357
s4166,8,113
s5180,0,91
s2568,29,11
s5931,40,241
s2011,46,326
s194,14,334
s1465,1,118
s370,27,78
s988,24,617
s6127,18,296
s6555,42,129
s7784,39,714
s4969,20,724
s7225,16,68
s8252,8,688
s387,35,233
s4220,23,526
s5417,3,700
s1805,17,467
s1858,3,295
s1294,45,529
s6700,19,198
s4311,7,73
s390,5,187
s1074,42,961
s3213,49,957
s7901,25,242
s7351,14,796
s7572,9,678
s1282,6,7
s4672,36,505
s4917,3,838
s319,45,96
s4679,28,165
s1702,50,532
s4644,26,136
s3454,9,878
s35,16,152
s3870,8,771
s7970,39,460
s53,48,644
s6648,24,148
s5070,12,262
s6103,22,131
s5324,40,362
s8240,15,923
s6520,44,290
s7314,43,728
s5361,9,605
s4103,7,922
s83,18,811
s6550,29,842
s1829,46,76
s7497,11,350
s1964,1,754
s8415,3,135
s7306,9,408
s2,14,699
s5712,20,263
s4280,22,625
s1172,47,963
s6716,43,180
s4420,14,472
s4443,16,436
s6193,10,377
s1730,44,959
s6835,42,303
s4482,20,472
s694,43,588
s2601,36,761
s681,31,805
s3898,17,382
s2018,7,385
s321,15,126
s128,23,595
s7951,31,35
s7780,4,126
s4557,0,318
s1478,32,458
s6912,25,800
s6942,41,731
s149,41,793
s7628,26,565
s8573,31,820
s2600,22,375
s2402,7,603
s6962,28,625
s1356,40,317
s4339,20,803
s421,46,655
s975,42,673
s1570,15,887
s4393,46,460
s3547,7,33
s6014,16,596
s5658,31,272
s8618,3,530
s4167,39,830
s2796,16,322
s3220,2,536
s2903,50,345
s2852,20,188
s6347,17,917
s466,49,410
s1512,46,80
s3522,25,731
s5129,21,827
s2894,15,725
s5305,11,95
s1901,19,914
s8429,15,94
s1305,48,125
s1514,46,312
s3585,28,5
s797,27,997
s1420,29,747
s2069,46,525
s487,18,971
s2103,7,943
s5779,46,790
s2326,28,309
s3797,27,857
s894,6,307
s5170,33,470
s7954,48,755
s3582,36,487
s1597,15,127
s2779,47,503
s3493,22,411
s7567,41,21
s8503,3,486
s930,0,1000
s7448,32,471
s4439,38,445
s2110,41,153
s5140,19,499
s5409,25,595
s8275,5,819
s8784,14,401
s5481,1,161
s3393,40,36
s3794,40,533
s1087,46,203
s5172,0,177
s2368,28,185
s8306,39,507
s5510,26,178
s4954,49,554
s3387,34,155
s3193,12,369
s4685,2,479
s6315,37,742
s7809,39,790
s5452,33,386
s8203,48,982
s7639,22,863
s7538,3,832
s700,31,326
s2718,20,834
s2880,38,339
s2280,26,566
s3331,28,634
s1824,26,188
s4801,45,265
s4350,49,926
s2161,38,703
s2807,19,967
s5325,12,768
s5283,32,980
s3846,34,618
s8489,26,600
s4444,29,475
s2153,46,862
s712,8,3
s2873,43,670
s7164,12,312
s2312,33,715
s7145,4,590
s124,6,730
s1386,26,4
s5734,24,233
s2919,14,725
s1144,9,126
s2102,7,428
s5508,28,675
s6865,7,399
s7802,48,747
s2861,10,829
s1795,16,243
s4748,18,829
s3941,7,686
s675,10,111
s5884,45,975
s3109,3,165
s3279,10,247
s5905,31,102
s8325,39,164
s1767,3,590
s748,11,449
s663,32,564
s4937,44,528
s4955,9,292
s2162,7,474
s8549,4,40
s3650,50,327
s5445,10,831
s8100,20,608
s1746,3,973
s7514,39,622
s2306,8,911
s450,47,791
s6887,0,877
s2435,45,667
s3737,7,463
s5461,3,736
s4434,2,823
s2711,1,746
s1101,21,356
s4720,25,270
s8375,2,315
s6028,17,991
s7181,7,871
s6310,22,885
s1629,31,171
s2477,1,488
s6444,46,472
s1644,29,809
s5664,16,666
s134,26,293
s7032,23,859
s2981,11,6
s625,50,7
s7193,19,1
s5280,21,648
s5682,29,308
s6147,16,340
s506,10,255
s5119,21,369
s6073,35,891
s756,27,296
s4628,50,577
s2106,34,172
s7087,35,873
s3940,33,234
s6500,42,892
s6005,19,853
s2125,50,406
s7928,39,88
s7357,20,890
s4609,15,275
s4582,24,161
s582,36,78
s7634,41,546
s6419,15,615
s4854,41,93
s2122,4,623
s6419,49,275
s6064,26,228
s7052,11,211
s6896,47,834
s5252,34,563
s590,9,315
s206,16,409
s2721,24,983
s2453,25,496
s2653,24,959
s2028,15,489
s1918,28,836
s447,2,927
s4022,34,946
s5483,28,946
s5769,5,919
s8301,23,621
s5114,17,413
s2974,6,463
s1323,46,494
s2941,47,960
s5086,9,734
s5736,15,361
s3151,20,1
s2610,36,216
s7203,40,138
s4384,16,760
s6026,11,562
s1588,12,235
s4527,36,339
s8201,12,811
s15,7,128
s3155,46,138
s5893,3,342
s3172,48,804
s6491,25,572
s7446,31,362
s2748,4,827
s1886,33,66
s1150,0,492
s6104,26,506
s8197,9,801
s3907,14,269
s3241,26,885
s7708,11,48
s3144,29,114
s2291,38,726
s6030,30,222
s2450,29,860
s1848,46,292
s7295,30,718
s8004,27,834
s6668,34,670
s1610,12,973
s7260,33,972
s4657,41,81
s1040,0,340
s4803,10,121
s4567,14,535
s4117,24,763
s6961,4,149
s5860,7,509
s7198,50,96
s850,16,12
s7115,13,916
s2917,31,563
s7981,26,904
s1211,2,558
s5616,25,155
s8571,49,4
s5966,27,402
s6722,16,722
s907,30,518
s4526,50,223
s8124,13,40
s3327,45,554
s6095,8,132
s1998,30,880
s4606,22,494
s123,50,323
s4389,37,662
s1539,22,987
s4223,33,649
s8784,0,416
s3768,18,786
s8752,24,767
s1329,46,409
s7204,0,639
s6938,7,83
s3896,14,957
s6400,13,428
s6305,20,817
s7956,37,766
s7636,39,614
s4934,8,364
s8168,33,942
s4932,23,228
s3955,45,145
s3948,27,809
s6518,41,689
s5774,36,597
s857,20,148
s420,13,318
s6194,42,846
s6899,34,483
s1756,43,604
s2666,36,352
s407,39,560
s7611,4,496
s6143,32,701
s6611,22,708
s1220,1,590
s755,25,179
s2042,18,798
s5965,25,481
s7095,42,833
s3554,33,751
s2008,6,717
s3578,33,480
s2455,18,879
s1638,46,981
s3572,43,462
s6474,18,884
s1070,49,651
s3977,4,970
s1783,41,674
s3277,24,419
s7670,26,665
s4987,22,467
s7547,11,239
s3220,13,331
s4425,37,936
s5748,31,991
s2747,38,95
s996,4,914
s677,31,936
s4754,25,623
s7100,15,570
s7305,20,87
s530,3,79
s2410,39,195
s8107,0,374
s8249,11,861
s3625,10,616
s3663,30,470
s5872,4,910
s4529,32,15
s3454,15,655
s3150,24,58
s4472,42,976
s4841,17,215
s4747,6,152
s6303,48,428
s8255,18,523
s8631,30,340
s7989,27,561
s1168,38,794
s7195,24,100
s2506,26,446
s7096,35,400
s5978,49,958
s5797,44,97
s8260,34,341
s982,44,133
s5628,24,59
s1791,40,622
s1974,1,752
s2185,24,162
s5801,38,223
s267,26,351
s3392,17,288
s5396,42,808
s2348,28,983
s1019,50,738
s1371,27,575
s8160,22,358
s1028,11,148
s6971,36,946
s3329,46,528
s5701,14,451
s8793,7,932
s7573,42,767
s7679,28,54
s5164,1,106
s1383,30,47
s1225,26,59
s3870,13,227
s3219,39,415
s3594,16,742
s4837,24,21
s3974,8,588
s1691,49,858
s1565,10,910
s820,21,884
s5214,32,709
s6206,48,871
s6321,19,517
s7398,36,765
s2472,9,818
s5304,5,153
s2215,6,759
s3418,36,117
s8088,28,845
s4474,19,546
s375,35,664
s6797,9,671
s3876,12,579
s3138,23,64
s4724,45,155
s8180,1,202
s3185,2,390
s4697,3,721
s8527,13,901
s4551,15,453
s1684,18,994
s307,24,380
s2719,20,159
s8274,31,18
s2145,5,735
s3119,39,273
s8652,6,890
s7121,33,282
s4198,37,917
s211,9,27
s7625,3,199
s5712,34,817
s4336,20,490
s5502,14,144
s7786,46,285
s6381,24,444
s7309,40,818
s7671,13,692
s8243,15,992
s2750,0,662
s5820,25,262
s3187,21,143
s7708,18,32
s4402,22,868
s5595,31,348
s3942,40,522
s7697,27,104
s3269,12,35
s908,9,36
s2416,48,917
s1385,23,413
s3124,33,440
s6692,31,279
s5712,16,67
s6205,46,320
s5479,43,279
s7933,40,894
s7372,15,987
s420,43,920
s1705,21,172
s5720,12,632
s4582,40,475
s1242,18,767
s3441,15,752
s5758,16,202
s8004,35,760
s378,34,994
s7046,6,461
s6347,5,670
s3411,14,123
s5330,2,596
s6580,13,240
s3146,39,475
s852,39,122
s2342,46,196
s7846,44,81
s390,33,865
s2476,13,549
s7017,16,693
s6819,2,527
s1904,27,78
s2503,15,948
s6531,35,592
s2672,18,692
s3079,42,713
s8245,50,761
s7727,34,469
s2872,48,488
s2774,12,536
s912,10,979
s4883,6,23
s4484,43,920
s626,36,623
s2697,2,901
s1105,30,424
s6255,22,156
s7539,10,920
s4686,28,710
s6633,39,182
s6714,3,375
s4170,45,817
s2266,42,625
s8336,4,662
s4419,36,648
s4753,37,916
s5894,3,504
s6421,7,252
s1598,42,932
s4859,45,803
s8533,28,874
s4997,39,253
s7071,44,409
s5690,15,112
s3474,0,254
s6351,10,864
s2743,49,891
s378,38,798
s3856,37,240
s4012,46,378
s5897,46,214
s2892,1,460
s2612,34,354
s7326,3,715
s5686,8,410
s4847,40,369
s3347,13,943
s3861,8,166
s1360,16,682
s6867,11,630
s8695,14,39
s2018,37,981
s6352,22,584
s7237,14,285
s3899,35,98
s5496,1,877
s6958,14,600
s4035,25,470
s7546,13,448
s3977,10,311
s2768,39,484
s5108,35,700
s4309,47,698
s3902,18,740
s942,37,414
s7671,16,844
s7183,16,247
s864,49,277
s8761,5,3
s7874,11,671
s6226,29,458
s5418,39,636
s3616,19,874
s4194,1,167
s5987,29,574
s7928,48,100
s1931,0,336
s3710,46,754
s7259,30,264
s714,21,142
s4404,16,698
s323,38,69
s1816,7,262
s4055,0,6
s7752,50,498
s3384,14,123
s6243,45,436
s6791,23,652
s6270,0,630
s236,1,1
s1071,23,640
s483,28,478
s7517,38,691
s5139,8,951
s124,4,947
s7759,30,642
s2671,8,754
s4067,33,859
s3596,41,249
s6277,23,750
s5452,36,884
s7492,37,571
s2209,26,239
s5159,49,320
s5398,43,388
s5688,11,410
s5382,34,138
s1804,7,146
s5710,32,169
s2415,7,374
s8042,37,865
s2625,39,169
s3337,16,366
s8349,10,417
s3379,20,273
s2983,43,200
s4094,17,562
s5875,47,470
s1152,39,23
s7805,43,798
s8101,5,39
s3062,11,964
s871,31,907
s6478,48,593
s2026,35,138
s4677,50,463
s8448,46,276
s2723,46,514
s1038,49,817
s6720,47,182
s7700,32,530
s8487,36,123
s6921,31,917
s3755,43,303
s5547,16,662
s7274,28,472
s6532,40,336
s3214,23,529
s5171,33,556
s5544,23,232
s8566,38,17
s6693,46,504
s2149,0,277
s4993,19,600
s3449,20,325
s3507,15,159
s5631,39,364
s5128,30,723
s8785,49,228
s3964,28,766
s8595,44,182
s7910,28,93
s952,21,632
s3188,5,63
s1218,25,141
s4130,8,381
s7931,31,540
s315,5,792
s5379,19,942
s1070,1,267
s1656,48,53
s5129,16,148
s757,32,651
s1419,2,837
s660,39,137
s8413,13,182
s6260,10,53
s3607,14,888
s6880,16,842
s1377,37,931
s3660,25,160
s6464,46,588
s4983,44,870
s7081,5,279
s5603,14,540
s3063,0,170
s2234,39,427
s7530,7,468
s8584,17,559
s5833,48,594
s4176,39,265
s2883,21,320
s4831,13,882
s4266,15,438
s5112,40,802
s3044,44,688
s6344,50,203
s6738,30,35
s6443,50,697
s1650,21,778
s5565,20,988
s3438,27,656
s8092,23,494
s8251,47,475
s3815,18,978
s4799,22,68
s5350,4,479
s6121,27,807
s5757,43,35
s1080,40,802
s3221,6,271
s7573,3,902
s643,35,417
s2540,49,582
s3613,35,255
s1783,29,197
s7270,12,993
s5480,17,315
s2249,48,229
s6739,43,836
s5925,46,624
s5540,4,229
s2163,27,108
s8741,35,449
s8508,8,478
s1285,39,666
s2926,3,348
s1378,27,534
s1017,16,297
s2351,38,436
s7432,24,591
s4263,17,282
s8510,19,105
s502,30,859
s4703,16,228
s2957,42,266
s158,4,604
s6123,28,332
s7859,5,360
s243,7,772
s7639,23,526
s2773,43,215
s2926,50,757
s3630,25,219
s565,6,993
s1172,38,966
s1379,18,93
s804,16,791
s4779,42,72
s3007,47,848
s6741,41,331
s3035,42,580
s2479,9,492
s7883,47,509
s6509,36,100
s1306,31,839
s4578,38,703
s2261,22,705
s6444,36,586
s8166,2,801
s3988,17,882
s4563,7,940
s7240,5,238
s3346,29,439
s7020,49,941
s4065,47,452
s8746,10,186
s2681,32,68
s4336,46,572
s1746,6,706
s547,44,471
s7784,41,871
s347,0,281
s1524,10,916
s7056,0,900
s4805,18,579
s6301,0,712
s7469,2,393
s7989,23,49
s1749,27,88
s5142,18,358
s4102,27,161
s4015,14,643
s8491,9,362
s4118,4,264
s161,28,723
s4891,22,938
s3491,18,853
s4883,8,784
s4682,12,210
s256,37,492
s7589,3,298
s1398,30,766
s3630,44,161
s873,22,392
s8217,7,999
s6037,2,267
s5188,41,727
s6142,40,54
s5094,4,414
s3574,6,697
s2241,27,636
s7121,38,233
s5436,2,501
s8440,38,811
s4007,49,886
s1240,12,51
s8226,9,443
s2014,1,534
s4245,31,19
s5368,4,44
s3704,19,146
s3672,11,952
s779,19,28
s8271,35,634
s4355,46,291
s7956,0,310
s466,15,489
s4911,48,142
s2047,43,998
s6012,21,715
s2014,20,90
s4365,20,632
s1825,32,113
s2779,12,247
s7501,41,418
s4271,34,885
s5220,30,943
s6870,29,916
s5005,29,38
s7223,0,754
s5204,20,606
s1602,21,731
s5936,39,524
s3248,32,115
s7781,35,646
s7749,34,406
s2957,15,67
s5354,32,806
s5591,23,726
s2041,14,382
s5901,48,719
s6772,49,511
s3349,39,730
s1005,36,538
s3310,11,984
s3264,34,570
s473,49,232
s1872,21,822
s8804,41,474
s4066,10,935
s7853,12,372
s1391,27,64
s8020,32,84
s1101,9,452
s1461,24,118
s4621,8,168
s2975,1,200
s1296,27,914
s7257,35,469
s3067,20,489
s1194,6,332
s980,34,185
s1228,11,944
s8443,24,593
s1712,22,260
s6468,19,80
s6340,28,552
s4914,39,940
s3841,12,637
s6269,27,346
s5060,26,983
s4580,23,992
s6005,6,141
s2552,41,818
s7532,8,645
s2597,21,201
s6247,13,650
s4379,35,178
s3930,19,453
s5042,18,250
s891,19,434
s5936,7,88
s3765,31,422
s8269,40,630
s1629,43,947
s2107,39,577
s4718,18,993
s6063,50,283
s7622,16,408
s1975,8,300
s3313,19,436
s3649,15,645
s1181,0,683
s2332,10,557
s7239,47,16
s352,29,493
s3405,34,617
s5706,14,15
s5650,50,397
s1482,34,334
s4150,15,925
s1724,40,170
s8538,24,662
s4342,49,258
s464,45,674
s530,17,205
s1441,30,827
s4536,41,63
s4683,36,843
s6004,40,277
s780,44,810
s1708,0,216
s542,41,110
s3543,33,432
s1263,3,212
s1672,11,214
s7777,6,587
s3890,48,389
s1598,33,195
s986,2,866
s8430,6,946
s5225,28,606
s1950,9,340
s7536,6,587
s930,43,355
s661,21,519
s5280,1,362
s4239,24,279
s3696,21,553
s1018,30,70
s5543,11,864
s3096,0,133
s8138,15,610
s4081,9,753
s2286,14,447
s2300,50,184
s7827,42,640
s1572,21,860
s829,37,240
s6697,21,309
s5936,12,546
s7345,10,44
s7031,35,866
s8673,17,483
s6202,39,131
s2960,22,876
s5642,19,446
s1641,14,410
s4479,1,729
s1601,29,748
s1559,7,72
s8206,23,460
s22,24,162
s8122,35,438
s7584,41,777
s6478,2,160
s6821,35,755
s5063,10,18
s2796,47,146
s1941,21,821
s1859,9,264
s6378,17,186
s1614,4,734
s6285,23,581
s7116,48,328
s8395,43,581
s2468,10,810
s7177,8,151
s7597,13,161
s3232,1,360
s7088,8,75
s3757,19,367
s7752,34,19
s7963,32,682
s5973,34,36
s6376,39,227
s3014,0,815
s938,31,674
s7022,40,891
s6123,16,735
s6269,9,734
s4660,38,230
s4865,23,559
s3966,18,410
s7720,21,643
s7658,39,321
s3065,21,316
s4959,6,375
s6808,12,39
s7299,50,464
s6151,14,388
s2637,19,529
s8548,29,825
s7837,12,11
s2629,8,791
s6688,27,873
s5173,43,253
s3310,0,947
s7666,21,694
s8028,13,939
s4152,13,193
s5736,1,164
s4644,33,72
s7136,26,706
s569,27,695
s6426,43,550
s3400,37,920
s1929,18,712
s8744,16,764
s3751,14,509
s3693,28,522
s8180,30,268
s7525,50,82
s1112,43,293
s1047,44,302
s1233,6,904
s3916,13,83
s2879,38,548
s3424,18,699
s3405,46,619
s199,38,42
s5930,15,804
s2819,42,725
s5012,25,97
s8538,37,695
s6558,17,515
s3910,42,641
s5517,7,342
s2406,12,704
s7508,3,677
s6450,37,327
s4707,31,449
s8023,19,816
s2972,25,793
s3014,5,113
s6933,1,403
s281,24,729
s8718,3,203
s4918,1,97
s7719,48,310
s7284,16,433
s4591,37,683
s2461,19,281
s1442,5,868
s2758,36,779
s6549,16,978
s6729,15,339
s4912,26,677
s1786,16,250
s2062,7,658
s5266,23,125
s466,47,24
s2709,13,388
s3701,19,955
s2718,47,640
s1938,19,435
s5261,15,312
s6555,35,815
s1534,8,730
s3162,20,126
s2651,41,933
s2953,45,542
s3063,14,438
s1761,43,885
s631,35,364
s3477,19,137
s3676,17,424
s2882,11,195
s5971,37,108
s4616,48,813
s5949,3,862
s2684,43,729
s374,2,381
s6043,25,478
s3620,2,223
s168,9,488
s4860,18,908
s2906,46,889
s7032,47,179
s5589,5,59
s5602,12,966
s2061,20,152
s758,29,281
s2065,37,481
s6054,2,408
s834,48,484
s6297,46,102
s3278,19,329
s6010,17,340
s5120,50,904
s2123,45,698
s2272,6,627
s3262,41,567
s4546,47,539
s1189,5,72
s5534,25,285
s3793,12,892
s610,12,451
s1669,25,379
s3444,9,579
s7307,44,566
s3125,27,443
s353,17,896
s684,47,222
s1225,44,306
s7571,35,629
s2633,2,255
s6670,11,541
s6773,49,280
s2546,28,632
s2541,31,913
s132,5,423
s7486,32,760
s2016,32,354
s6058,9,612
s2205,19,613
s1042,41,94
s8492,44,707
s2917,7,846
s1896,46,744
s25,9,290
s5994,40,949
s6234,27,701
s1865,10,551
s2205,9,865
s6572,49,222
s8490,43,137
s6814,43,111
s141,0,317
s2797,29,630
s2599,19,330
s3106,44,37
s6368,2,919
s1523,33,258
s1011,14,328
s7624,32,506
s3994,2,910
s4634,5,738
s7098,18,447
s649,44,429
s898,41,182
s255,2,442
s5485,27,804
s8599,45,500
s3453,2,814
s5217,13,217
s2838,29,451
s2402,31,876
s5920,1,836
s8416,17,856
s2444,48,161
s8592,14,805
s169,19,115
s7376,0,959
s3042,22,48
s3302,10,789
s8386,22,529
s5894,29,87
s746,4,364
s3655,42,686
s2472,37,598
s4720,39,68
s4488,21,813
s4040,10,863
s5916,24,390
